paidwork,lwage,men,malay,chinese,indian,age,agesq,gexpr,gexprsq,yprim,ysec,fail,urban,unearn,househ,amtland,unearnx
1,.96518773,0,0,0,1,39,15.21,24,5.7600002,6,3,0,1,0,0,0,1
1,-.044675563,0,1,0,0,45,20.25,39,15.21,0,0,0,1,0,0,0,0
1,1.2556399,0,0,1,0,25,6.25,6,.36000001,6,7,0,1,0,.40000001,0,0
0,0,0,0,1,0,50,25,31,9.6099997,6,7,0,1,0,.40000001,0,0
0,0,0,0,1,0,22,4.8400002,3,.090000004,6,7,0,1,0,.40000001,0,0
0,0,0,1,0,0,28,7.8400002,13,1.6900001,6,3,0,1,0,0,0,1
0,0,0,1,0,0,28,7.8400002,15,2.25,6,1,0,1,.00030000001,0,0,0
1,.065139301,0,1,0,0,29,8.4099998,17,2.8900001,6,0,0,1,0,0,0,1
0,0,0,1,0,0,30,9,21,4.4099998,3,0,0,1,0,0,0,0
0,0,0,1,0,0,35,12.25,25,6.25,4,0,0,1,.059999999,0,0,0
0,0,0,1,0,0,38,14.44,26,6.7600002,6,0,0,1,.36000001,.40000001,0,0
0,0,0,1,0,0,32,10.24,17,2.8900001,6,3,0,1,0,0,0,0
1,-.56346935,0,0,1,0,55,30.25,49,24.01,0,0,0,1,.090000004,.40000001,0,0
0,0,0,1,0,0,29,8.4099998,17,2.8900001,6,0,0,1,0,0,0,1
0,0,0,1,0,0,32,10.24,17,2.8900001,6,3,0,1,0,0,0,1
0,0,0,0,1,0,58,33.639999,46,21.16,6,0,0,1,0,0,0,0
1,.64654076,0,0,1,0,28,7.8400002,11,1.21,6,5,0,1,0,.40000001,0,1
1,.72723144,0,0,1,0,30,9,15,2.25,6,3,1,1,0,.40000001,0,1
0,0,0,0,1,0,62,38.439999,56,31.360001,0,0,0,1,0,.40000001,0,1
0,0,0,0,1,0,38,14.44,26,6.7600002,6,0,0,1,0,0,0,1
1,1.0113771,0,0,1,0,23,5.29,4,.16,6,7,0,1,0,0,0,0
0,0,0,0,1,0,51,26.01,41,16.809999,4,0,0,1,0,0,0,0
0,0,0,0,1,0,17,2.8900001,2,.039999999,6,3,0,1,0,0,0,0
1,1.3359208,0,0,1,0,26,6.7600002,9,.81,6,5,0,1,0,0,0,0
0,0,0,0,1,0,25,6.25,3,.090000004,6,10,0,1,0,0,0,0
0,0,0,0,1,0,50,25,39,15.21,5,0,0,1,.456,0,0,0
1,.90735763,0,0,0,1,21,4.4099998,2,.039999999,6,7,1,1,0,.40000001,0,1
0,0,0,0,0,1,52,27.040001,44,19.360001,2,0,0,1,0,.40000001,0,1
0,0,0,0,1,0,21,4.4099998,4,.16,6,5,0,1,0,0,0,1
0,0,0,0,1,0,56,31.360001,48,23.040001,2,0,0,1,0,0,0,1
0,0,0,1,0,0,56,31.360001,50,25,0,0,0,1,0,.60000002,.2,0
1,.68929362,0,0,0,1,24,5.7600002,12,1.4400001,6,0,0,1,0,0,0,1
0,0,0,0,0,1,24,5.7600002,12,1.4400001,6,0,0,1,0,0,0,1
1,1.6302769,0,0,1,0,39,15.21,22,4.8400002,6,5,0,1,.0099999998,.60000002,0,0
0,0,0,0,1,0,16,2.5599999,1,.0099999998,6,3,0,1,.0099999998,.60000002,0,0
1,.87161517,0,0,1,0,36,12.96,19,3.6099999,6,5,1,1,0,0,0,0
0,0,0,0,1,0,17,2.8900001,2,.039999999,6,3,1,1,0,0,0,0
0,0,0,0,1,0,16,2.5599999,2,.039999999,6,2,0,1,0,0,0,0
0,0,0,0,0,1,36,12.96,25,6.25,5,0,0,1,0,0,0,1
0,0,0,0,1,0,33,10.89,23,5.29,4,0,0,1,0,0,0,1
1,.6092509,0,0,1,0,25,6.25,17,2.8900001,2,0,0,1,0,.40000001,0,1
1,-2.8942254,0,0,1,0,28,7.8400002,19,3.6099999,3,0,0,1,0,.40000001,0,1
1,.76933634,0,0,1,0,21,4.4099998,6,.36000001,6,3,1,1,0,.40000001,0,1
0,0,0,0,1,0,18,3.24,2,.039999999,6,4,0,1,0,.40000001,0,1
0,0,0,1,0,0,18,3.24,0,0,6,6,0,1,0,0,.2,0
0,0,0,1,0,0,57,32.490002,51,26.01,0,0,0,1,0,0,.2,0
0,0,0,1,0,0,15,2.25,0,0,6,3,0,1,0,0,.2,0
0,0,0,1,0,0,21,4.4099998,2,.039999999,6,7,0,1,0,0,.2,0
0,0,0,1,0,0,49,24.01,43,18.49,0,0,0,1,0,.34999999,0,1
1,-.64351207,0,1,0,0,16,2.5599999,4,.16,6,0,0,1,0,.34999999,0,1
0,0,0,1,0,0,22,4.8400002,10,1,6,0,0,1,.021500001,0,.1,0
0,0,0,1,0,0,25,6.25,10,1,6,3,0,1,0,0,0,0
1,.55939198,0,0,0,1,31,9.6099997,25,6.25,0,0,0,1,0,.69999999,0,1
0,0,0,0,0,1,60,36,54,29.16,0,0,0,1,0,.69999999,0,1
0,0,0,0,0,1,51,26.01,34,11.56,6,5,0,1,0,.69999999,0,1
0,0,0,0,0,1,22,4.8400002,7,.49000001,6,3,0,1,0,.69999999,0,1
1,.11392947,0,1,0,0,19,3.6099999,2,.039999999,6,5,0,1,0,.69999999,0,0
0,0,0,1,0,0,59,34.810001,53,28.09,0,0,0,1,0,.69999999,0,0
0,0,0,1,0,0,28,7.8400002,16,2.5599999,6,0,0,1,0,.69999999,0,0
0,0,0,1,0,0,20,4,14,1.96,0,0,0,1,0,0,0,1
0,0,0,1,0,0,34,11.56,19,3.6099999,6,3,0,1,0,0,0,1
1,-.31215492,0,0,1,0,41,16.809999,31,9.6099997,4,0,0,1,0,.69999999,0,0
0,0,0,0,1,0,16,2.5599999,4,.16,6,0,0,1,0,.69999999,0,0
0,0,0,0,1,0,15,2.25,3,.090000004,6,0,0,1,0,.69999999,0,0
1,1.0608572,0,0,0,1,30,9,13,1.6900001,6,5,0,1,0,0,0,1
0,0,0,1,0,0,33,10.89,16,2.5599999,6,5,1,1,.014,.69999999,0,0
0,0,0,0,1,0,45,20.25,33,10.89,6,0,0,1,0,0,0,0
0,0,0,0,0,1,38,14.44,26,6.7600002,6,0,0,1,0,.69999999,0,1
0,0,0,0,0,1,15,2.25,0,0,6,3,1,1,0,.69999999,0,1
1,.80707663,0,0,0,1,17,2.8900001,3,.090000004,6,2,0,1,0,0,0,0
1,.68929362,0,0,0,1,40,16,29,8.4099998,5,0,0,1,0,0,0,0
0,0,0,1,0,0,46,21.16,35,12.25,5,0,0,1,0,.69999999,0,0
1,.060684953,0,1,0,0,21,4.4099998,4,.16,6,5,0,1,0,.69999999,0,0
0,0,0,0,1,0,31,9.6099997,19,3.6099999,6,0,0,1,0,0,0,1
1,.44553077,0,0,0,1,18,3.24,1,.0099999998,6,5,0,1,0,0,0,1
0,0,0,0,0,1,52,27.040001,46,21.16,0,0,0,1,0,0,0,1
0,0,0,0,0,1,27,7.29,10,1,6,5,0,1,0,0,0,1
0,0,0,0,1,0,40,16,28,7.8400002,6,0,0,1,0,0,0,1
1,.79692429,0,0,1,0,25,6.25,8,.63999999,6,5,0,1,0,.69999999,0,0
1,-.090864949,0,0,0,1,34,11.56,25,6.25,3,0,0,1,0,.69999999,0,1
0,0,0,1,0,0,27,7.29,12,1.4400001,6,3,1,1,0,.69999999,0,1
0,0,0,0,1,0,28,7.8400002,11,1.21,6,5,0,1,0,.69999999,0,0
